Korean	Definition	English	Context	Hashtags
한눈을 팔다	해야 할 일에 마음을 쓰지 않고 정신을 딴 데로 돌리다.	to be sidetracked to have a wandering eye (used in romantic relationship)		#관용구
한술 더 뜨다	이미 어느 정도 잘못되어 있는 일에 대하여 한 단계 더 나아가 엉뚱한 짓을 하다.			#관용구 #비유
한 치 앞을 못 보다	식견이 얕다.	can't see beyond the end of sb's nose		#관용구
해가 서쪽에서 뜨다	있을 수 없는 일을 이르는 말.	wonders never cease		#관용구 #비유
허리가 휘어지다	감당하기 어려운 일을 하느라 힘이 부치다.			#관용구 #비유
허리를 못 펴다	기죽어 지내다.			#관용구
혀를 내두르다	몹시 놀라거나 어이가 없어서 말을 못하다.	dumbfounded to be lost for words		#관용구
화살을 돌리다	힐책이나 공격 따위를 다른 방향으로 돌리다.	to pass the buck		#관용구 #비유
활개(를) 치다	부정적인 것이 크게 성행하다.			#관용구
한 발 늦다		sb missed the boat day late and a dollar short		
시간 가는 줄 모르다		to lose track of time		
한 발 빼다		to have one foot out the door		
어이가 없다		that's rich sb must be joking		
궁지에 몰리다		to be on the ropes to be in a tight spot		
해볼 테면 해보라고 대들다		to call sb's bluff		
간 보다		to test the waters		
비장의 무기		an ace up sb's sleeve		
