hangle,first_translate,idiom_translate,label,idiom
이제 나가 보거라.,you may leave now.,you can go now.,you may leave now.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
해야 할 일이 산더미구나.,I have a lot of work to do.,I have a mountain of work to do.,I have a lot of things to do.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
…정말 그래 보이시네요.,you really do seem busy.,you really do look busy.,you do look busy…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그런데 젠 오빠…,"zen,","zen,","by the way, zen,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
마지막으로 말해 드릴 게 있어요.,there’s one last thing I want to tell you.,there’s one last thing I’d like to tell you.,there’s one last thing I’d like to say to you.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
있죠…,"you know,","you know,","you see,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
도박 중독에는 답도 없답니다.,there’s no cure for a gambling addiction.,there’s no cure for gambling addiction.,"there’s no cure for gambling addiction,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
빚까지 졌다면 더더욱이요.,especially if you’re in debt.,it’s even worse if you’re in debt.,especially when you’re steeped in debt.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"그,",h-how did you know that?!,h-how did you know that?!,what?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그 사실을 네가 어떻게?!,h-how did you know that?!,h-how did you know that?!,how do you know about that?!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그럼 안녕히 계세요.,"goodbye, zen.","goodbye, zen.","take care, now.","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
피오나아-!!,fiona!!,fiona!!,fiona!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
흠흠~,hmm!,hmm!,hmm hmm!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
이렇게 기분이 좋을 줄이야~,I didn’t think it would feel this good!,I didn’t know it would feel this good!,I didn’t know it would feel this good!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
피오나,fiona!,"fiona,",fiona.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
아직도 이곳에 남아 있던 거니?!,you’re still here?!,are you still here?!,what are you still doing here?!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
뻔뻔한 것.,you shameless brat.,you shameless girl.,you brazen little rat…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
네 오라비의 등골 빼먹을 생각 말고 썩 나가거라.,stop trying to leech off your brother and get out of here.,don’t leech off your brother and get out of here.,"stop bothering your brother and leave this place, posthaste!","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"재촉하지 않아도 그럴 겁니다,","I will,","I will,","I was already on my way out,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
부인.,countess.,countess.,my lady.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"그 전에,","but before that,","but before I go,","but before I go,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
마지막으로 해야 할 일이 떠올랐지만요.,I just remembered there’s one last thing I have to do.,I just remembered that I have one last thing to do.,there’s one last thing I must do.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
할 일?!,what?!,one last thing?!,one last thing?!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"어떻게든 빌붙으려고 애쓰는 거라면,","if you’re trying to find a way to stay here,","if you’re trying to find a way to stay here,","if you’re trying to mooch off of us again,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
소용없…,it’s no use--,it’s no use--,don’t eve--,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"어,",oh...,oh...,"oh,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
어머!!,oh my!!,oh my!!,my god!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
마님!!,countess!!,countess!!,my lady!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
…감히.,how dare you...,how dare you...,you little…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
감히 이런 짓을!,how dare you do this to me!,how dare you do this to me!,how dare you?!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
다시 생각해보니 역시 한 대 쯤은 때리고 싶어서요.,"I thought about it, and I really wanted to slap you at least once.",I just realized that I wanted to slap you at least once.,"I gave it some thought, but I just couldn’t go without slapping you.","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"카인델은 빈털터리로 추방당했고,","caindel was banished with nothing,","caindel was kicked out with nothing,","caindel has been kicked out of the family penniless,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
젠은 평생 빚에 쫓길 예정이고…,and zen will be chased by debt for the rest of his life...,and zen will be in debt for the rest of his life...,while zen will live in debt for the rest of his life.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그러니까 부인도 제게 뺨 정도는 맞아야 공평하지 않을까요?,so I thought it would only be fair for me to slap you.,so I thought it would only be fair for me to slap you.,wouldn’t it be fair for you to at least get a slap in the face?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
젠이…?!,zen...?!,zen...?!,zen will be what?!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
대체 이게 무슨 헛소리인지…!,what nonsense are you talking about?!,what nonsense are you talking about?!,what in the world are you talking about?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
핏줄도 천한 게 정신까지 이상해진 모양이구나.,"you’re not only of lowly blood, but you’ve also lost your mind.","you’re a lowly, crazy girl.","you must have gone mad, just like your dirty tramp of a mother!","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"누, 누가 이 정신 나간 계집을 가두거라!",s-someone lock this crazy girl up!,s-someone lock this crazy girl up!,s-somebody lock this lunatic up right now!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"자, 잠시만요!",w-wait!,w-wait!,w-wait!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"마, 마님.","c-countess,","c-countess,",m-my lady.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
큰일 났습니다!,we have a problem!,we have a problem!,something’s happening!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
넌 지금 상황이 보이지 않느냐?!,can’t you see what’s going on here?!,can’t you see what’s going on here?!,did you not see what she just did?!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
당장 이 계집을-,take this girl and--,take this girl--,take this wench--,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"그게 아니라,",that’s not it.,that’s not it.,"it’s not that,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"지금,","right now,","right now,",my lady.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
지금 저택 밖에 황궁의 병사가 몰려왔습니다!,imperial soldiers have surrounded the manor!,the imperial soldiers are gathered outside the manor!,there’s an army of imperial soldiers outside!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
황명이라면서요!,they said it’s by imperial order!,they said it’s the emperor’s order!,they’re here by imperial order!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"어,","oh,","oh,","oh,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
생각보다 빨리 왔네?,they came faster than I thought.,they came faster than I thought.,they came sooner than I thought.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
알고 계신가요?,did you know...,did you know...,did you know...,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
아버지와 큰오빠가 마약 사업에 손대고 있던 걸요.,...that father and caindel were involved in the drug business?,...that father and caindel were involved in the drug business?,...that father and caindel were involved in the drug trade?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"그래서,","so,",that’s why...,that’s why…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
제가 그 사실을 황궁에 고발했죠.,I reported that to the imperial palace.,...I reported them to the imperial palace.,…I reported it to the imperial court.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
부인도 잘 아시겠지만…,"as you know,","as you know,","I’m sure you know this,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"불법적인 사업으로 쌓아올린 재산이 확인되면,","if it’s confirmed that a fortune was built through illegal business,","if they find out that your wealth was built on illegal business,","but once the family’s illegal dealings are confirmed,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그건 전부 국고로 환수되죠.,it’s all confiscated by the state.,it will all be confiscated by the government.,all of your wealth will be confiscated by the national treasury.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"거,",d-don’t lie!,d-don’t lie!,st--,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
거짓말하지 말아!,d-don’t lie!,d-don’t lie!,stop lying!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그러면 너도 처벌을 면치 못할 텐데!,then you won’t be able to escape punishment either!,you won’t be able to avoid punishment either!,"if that’s true, you’ll be punished along with us!","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"그게 말이죠,","actually,","the thing is,",about that...,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
전 이미 이 가문 사람이 아니라서요.,I’m no longer a part of this family.,I’m not a part of this family anymore.,I’m no longer a member of this family.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
권리가 없으니 책임도 사라진 셈이죠.,"I have no rights, so I have no responsibilities either.","I don’t have any rights, so I don’t have any responsibilities either.","which means no rights, no responsibilities, either.","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"마, 말도 안 돼…",th-that’s impossible...,th-that’s impossible...,i-it can’t be…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
네가 지금 키워준 은혜를 원수로 갚는구나!!,you’re repaying our kindness with evil!,you’re repaying our kindness with evil!!,this is how you’re repaying us for raising you!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
…사실은 저도 그냥 넘어가려 했어요.,"honestly, I was going to let it go...",I was actually going to let it go.,"honestly, I didn’t mean to take things this far…","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"왜냐하면,",...because...,because...,…because…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
나에게도 어느 정도 책임이 있을지도 모르겠다는 생각을 했으니까요.,...I thought I might have some responsibility in this too.,...I thought I might be partly responsible too.,…I thought I could have played some role in all of this.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그랬다.,that’s right.,that’s right.,it was true.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"감정을 낭비하기도 싫었고,","I didn’t want to waste my emotions,","I didn’t want to waste my emotions,",I didn’t want to become emotionally invested…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
나도 어느 정도 책임이 있을 거라고… 망설였다.,and I hesitated because I thought I might have some responsibility too.,and I hesitated because I thought I might be partly responsible too.,…and I was reluctant because I thought I might be partially responsible.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
만약,"if I could meet the real fiona,","if I could meet the real fiona,",if I could…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"본래의 피오나를 만날 수 있다면,","if I could meet the real fiona,","if I could meet the real fiona,","…meet the original fiona,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
사죄 하고 싶을 정도로.,I would want to apologize to her.,I would want to apologize to her.,I wanted to ask for her forgiveness.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
…하지만 다시 고민해보니,"but after thinking about it again,","but after thinking about it again,","but after some more thought,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
인간의 도리는 5년 전에 찾았어야 했어요.,I realized I should have found my humanity five years ago.,I realized that I should have found my humanity five years ago.,I realized that I should have done this five years ago.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
당신들 또한.,and so should you.,you should have too.,you should also…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
이제 이런 건 소중히 간직하세요.,you should keep this safe.,you should cherish this.,…take good care of things like this.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
앞으로 두 번 다시 못 볼 수도 있잖아요.,you might not be able to see it again.,you might not be able to see it again.,you may never get to see it again.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그린 백작부인은 여기 계십니다!,countess green is here!,countess green is here!,countess green is in here!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
꺄악!!,aaah!!,aah!!,ahh!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그린 백작가가 불법적인 사업을 벌였다는 제보가 있었습니다.,we received a report that house green was involved in illegal business.,we received a report that house green was involved in illegal business.,we received a report saying you were involved in an illegal enterprise.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
때문에 황명에 따라 지금 이 시각부터 모든 가문의 재산을 동결하고…,"therefore, by imperial order, all of the family’s assets will be frozen starting now...","therefore, by the emperor’s order, all of house green’s wealth will be frozen starting now...","therefore, we have an imperial order to freeze the family’s accounts…","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
재무부가 아주 열심히 일하는구나.,the finance department is working very hard.,the finance department is working very hard.,the treasury is working really hard.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
응?,huh?,huh?,huh?,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
그러고 보니 등장인물 중 한 명이 재무부에 있었던 것 같은데…,"come to think of it, I think one of the characters was in the finance department...","come to think of it, I think one of the characters was in the finance department...",which reminds me... I think there was a character in the treasury…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
돈… 죠아아…,I love money...,I love money...,I love money…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
으으음… 이런 느낌이었던가…,hmm... was it something like that...?,hmm... was it something like that?,um… I think  that’s how I remember it…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
"에이, 모르겠다.","ah, whatever.","oh, whatever.","anyway,","해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
헤일론 저택에 갈 생각이나 하자.,I should think about going to house hylon.,I should get going to the hallon estate.,I’ll need to start planning my way to the heylon estate.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
안돼!!,no!!,no!!,no!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
겨우 형을 내쫓고 가주가 되었는데!!,I just got rid of caindel and became the head of the family!!,I just kicked my brother out and became the head of the family!!,I just got my brother kicked out and became the family heir!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
이것들!!,you bastards!!,let go of me!!,you imbeciles!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
이것 놓아라!!,let me go!!,let go of me!!,let go of me!!,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
정말-,"seriously,","seriously,",my god…,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
괜히 북쪽 산맥의 마물들을 지배하는 놈이 아니군.,he’s not the ruler of the demons of the northern mountains for nothing.,he’s not the ruler of the monsters in the northern mountains for nothing.,there’s a reason why this one reigned supreme in the northern range.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
여태 상대한 놈 중 가장 성가셨어…,he’s the most annoying guy I’ve ever faced...,he’s the most annoying guy I’ve ever fought...,this was the toughest beast that I’ve ever faced.,"해야 할 일이 산더미구나 : I have a mountain of work to do
네 오라비의 등골 빼먹을 생각 말고 : Don't leech off your brother"
